variable,current_N,current_mean,current_std,current_p25,current_median,current_p75,original_variable,original_N,original_mean,original_median,mean_diff_current_minus_original
lnN_tech,543,10.96610286164976,0.32868029572143953,10.774631043951,10.978984733698187,11.17493859404669,lnN_tech,552,10.962,10.91,0.004102861649760925
Redundancy,543,28.94449329135104,2.174223819994331,27.552095259903826,28.815161441272817,30.493882820806693,Redundancy,552,29.074,28.91,-0.12950670864896097
FInvention,531,2.324674941405925,1.190412055156729,1.6094379124341005,2.1972245773362196,2.995732273553991,FInvention,471,2.282,2.197,0.04267494140592509
BHAR,541,-0.0617672526383254,0.48882661213590445,-0.3871010025151465,-0.2038688808743842,0.0731908258966917,BHAR,471,-0.036,-0.17,-0.025767252638325404
FSales_Growth,538,0.4094078405973609,1.6726612765279378,-0.0482180615169181,0.15629103046068754,0.3858216176197689,FSales_Growth,471,0.53,0.18,-0.12059215940263912
FSales_Growth_ipo_pre_to_Lp1_w1p,535,1.0250821199022853,3.5841362088358273,0.07203230005846083,0.3622481305692451,0.7859690395085878,FSales_Growth,471,0.53,0.18,0.49508211990228523
FSales_Growth_ipo_lag1_to_Lp1_w1p,454,0.6613714652969129,1.63947661128413,0.042594694811845954,0.3234448707757489,0.6748935445796024,FSales_Growth,471,0.53,0.18,0.1313714652969129
Size,541,20.7789294496071,0.9989818917242194,20.12539125166632,20.568765720528297,21.23784067255592,Size,552,20.741,20.533,0.03792944960710187
Size_ipo_pre,541,20.73816875174228,0.9977739582375157,20.072745729954843,20.52520527975769,21.173929238891734,Size,552,20.741,20.533,-0.002831248257720631
Size_ipo_lag1,458,20.78513518295905,0.9976266346386886,20.138973186208172,20.555757481319535,21.234750449305274,Size,552,20.741,20.533,0.0441351829590495
Lev,541,0.35980204427393936,0.18527259046738562,0.2134414168991961,0.3366716639811341,0.476983282501462,Lev,552,0.356,0.334,0.0038020442739393756
Lev_ipo_pre,541,0.35715289137778655,0.18178416305289855,0.21151015786052654,0.334522031757461,0.4730665334413748,Lev,552,0.356,0.334,0.001152891377786569
Lev_ipo_lag1,458,0.3624150824078186,0.18392690543148557,0.21250347891729504,0.33916558810883124,0.47694699577914873,Lev,552,0.356,0.334,0.006415082407818629
ROA,541,0.09052151123713267,0.18889751865940987,0.0581498098434334,0.1002331117302361,0.1560716452802301,ROA,552,0.094,0.1,-0.0034784887628673267
ROA_ipo_pre,541,0.08977438977504826,0.16952730192374832,0.05815599344644401,0.09723059308034623,0.15182656581258056,ROA,552,0.094,0.1,-0.004225610224951742
ROA_ipo_lag1,458,0.10025132116513503,0.12712044460479388,0.06001756287559817,0.10018115940307827,0.15163862892289529,ROA,552,0.094,0.1,0.006251321165135035
RD_Asset,541,0.07862084168898884,0.1339083919548882,0.0341924632829069,0.0523517655643675,0.085934941053372,RD_Asset,552,0.105,0.073,-0.02637915831101116
RD_Asset_ipo_pre,28,0.0381736100198248,0.04752466273492749,0.007607919523158398,0.017803033171802853,0.04155182979193653,RD_Asset,552,0.105,0.073,-0.0668263899801752
RD_Asset_ipo_lag1,25,0.0374811699575979,0.047337399083620064,0.007986915609376984,0.01805402013166257,0.039153071759940754,RD_Asset,552,0.105,0.073,-0.0675188300424021
Offerfee,542,18.327417050451384,0.49401990044810057,17.967248275223515,18.265833314640517,18.622711812196933,Offerfee,552,18.325,18.27,0.002417050451384739
Underwriter,538,0.6319702602230484,0.4827183106704602,0.0,1.0,1.0,Underwriter,552,0.574,1.0,0.05797026022304841
Underwriter_ipo,539,0.6493506493506493,0.4776165902685578,0.0,1.0,1.0,Underwriter,552,0.574,1.0,0.07535064935064939
Age,541,2.6121099223392714,0.4133773650677668,2.3588761447016,2.6598621827797437,2.908235432469833,Age,552,2.601,2.639,0.011109922339271439
NumIndSeg,529,0.881195554934755,0.3654326802539621,0.6931471805599453,0.6931471805599453,1.0986122886681098,NumIndSeg,552,0.854,0.693,0.027195554934755006
NumProdSeg,533,1.5028034978595277,0.3462064327208159,1.3862943611198906,1.6094379124341005,1.791759469228055,NumProdSeg,552,1.475,1.609,0.027803497859527626
ScopeLen,542,5.67289311256825,0.8366070095964296,5.153291594497779,5.755737206351457,6.2892513182221945,ScopeLen,552,5.671,5.762,0.0018931125682497552
RD_Staff,456,0.3032684210526316,0.18788065200063248,0.15744999999999992,0.24204999999999993,0.4084499999999999,RD_Staff,552,0.305,0.24,-0.0017315789473684173
RD_Staff_ipo,542,0.27979192467691216,0.20173788157186026,0.13976033279057837,0.22394923271507006,0.38742649602213763,RD_Staff,552,0.305,0.24,-0.02520807532308783
