Stkcd,Subbgdt,Statrange,Stattype,Emptype,Number,code,Stattype_str,range_priority
688004,2020-06-03,B,8,研发人员,131.0,688004,8,0
688004,2020-06-03,B,8,销售人员,88.0,688004,8,0
688004,2020-06-03,B,8,技术服务人员,42.0,688004,8,0
688004,2020-06-03,B,8,生产人员,19.0,688004,8,0
688004,2020-06-03,B,8,采购仓储人员,13.0,688004,8,0
688004,2020-06-03,B,8,财务人员,9.0,688004,8,0
688004,2020-06-03,B,8,行政管理人员,24.0,688004,8,0
688004,2020-06-03,B,0,总人数,326.0,688004,0,0
688004,2020-06-03,B,2,硕士及以上,27.0,688004,2,0
688004,2020-06-03,B,2,本科,223.0,688004,2,0
688004,2020-06-03,B,2,大专,53.0,688004,2,0
688004,2020-06-03,B,2,中专,9.0,688004,2,0
688004,2020-06-03,B,2,高中,14.0,688004,2,0
688004,2020-06-03,B,3,30-40岁(含),88.0,688004,3,0
688004,2020-06-03,B,3,40-50岁(含),44.0,688004,3,0
688004,2020-06-03,B,3,50岁及以上,7.0,688004,3,0
688004,2020-06-03,B,3,30岁及以下,187.0,688004,3,0
688013,2020-09-17,B,2,硕士,13.0,688013,2,0
688013,2020-09-17,B,2,本科,66.0,688013,2,0
688013,2020-09-17,B,2,专科及以下,99.0,688013,2,0
688013,2020-09-17,B,0,总人数,178.0,688013,0,0
688013,2020-09-17,B,8,研发人员,30.0,688013,8,0
688013,2020-09-17,B,8,生产技术人员,79.0,688013,8,0
688013,2020-09-17,B,8,销售人员,39.0,688013,8,0
688013,2020-09-17,B,8,财务人员,8.0,688013,8,0
688013,2020-09-17,B,8,行政管理人员,22.0,688013,8,0
688013,2020-09-17,B,3,30岁以下,17.0,688013,3,0
688013,2020-09-17,B,3,31-40岁,107.0,688013,3,0
688013,2020-09-17,B,3,41-50岁,36.0,688013,3,0
688013,2020-09-17,B,3,50岁以上,18.0,688013,3,0
688017,2020-08-19,B,0,总人数,570.0,688017,0,0
688017,2020-08-19,B,8,管理、行政人员,30.0,688017,8,0
688017,2020-08-19,B,8,研发及技术人员,89.0,688017,8,0
688017,2020-08-19,B,8,销售、采购人员,18.0,688017,8,0
688017,2020-08-19,B,8,生产人员,433.0,688017,8,0
688017,2020-08-19,B,2,研究生及以上,12.0,688017,2,0
688017,2020-08-19,B,2,本科,47.0,688017,2,0
688017,2020-08-19,B,2,大专,103.0,688017,2,0
688017,2020-08-19,B,2,大专以下,408.0,688017,2,0
688017,2020-08-19,B,3,30岁及以下,235.0,688017,3,0
688017,2020-08-19,B,3,31-40岁,225.0,688017,3,0
688017,2020-08-19,B,3,41-50岁,91.0,688017,3,0
688017,2020-08-19,B,3,50岁以上,19.0,688017,3,0
688021,2019-10-25,B,8,生产人员,409.0,688021,8,0
688021,2019-10-25,B,8,管理人员,60.0,688021,8,0
688021,2019-10-25,B,8,销售人员,17.0,688021,8,0
688021,2019-10-25,B,8,研发人员,75.0,688021,8,0
688021,2019-10-25,B,0,合计,561.0,688021,0,0
688023,2019-10-25,B,8,研发人员,511.0,688023,8,0
688023,2019-10-25,B,8,销售人员,453.0,688023,8,0
688023,2019-10-25,B,8,技术支持,294.0,688023,8,0
688023,2019-10-25,B,8,管理及行政,93.0,688023,8,0
688023,2019-10-25,B,8,生产人员,20.0,688023,8,0
688023,2019-10-25,B,0,总人数,1568.0,688023,0,0
688023,2019-10-25,B,2,硕士及以上,107.0,688023,2,0
688023,2019-10-25,B,2,本科,1013.0,688023,2,0
688023,2019-10-25,B,2,大专,416.0,688023,2,0
688023,2019-10-25,B,2,高中及以下,32.0,688023,2,0
688023,2019-10-25,B,3,30岁及以下,893.0,688023,3,0
688023,2019-10-25,B,3,31-40岁,576.0,688023,3,0
688023,2019-10-25,B,3,41-50岁,93.0,688023,3,0
688023,2019-10-25,B,3,51岁及以上,6.0,688023,3,0
688023,2019-10-25,B,8,安全服务,197.0,688023,8,0
688025,2019-10-22,B,8,市场人员,108.0,688025,8,0
688025,2019-10-22,B,8,研发技术人员,328.0,688025,8,0
688025,2019-10-22,B,8,生产人员,322.0,688025,8,0
688025,2019-10-22,B,8,采购人员,12.0,688025,8,0
688025,2019-10-22,B,8,管理人员,72.0,688025,8,0
688025,2019-10-22,B,0,总人数,842.0,688025,0,0
688025,2019-10-22,B,2,博士,13.0,688025,2,0
688025,2019-10-22,B,2,硕士,32.0,688025,2,0
688025,2019-10-22,B,2,本科,239.0,688025,2,0
688025,2019-10-22,B,2,大专,194.0,688025,2,0
688025,2019-10-22,B,2,大专以下学历,364.0,688025,2,0
688026,2020-01-13,B,3,41岁-50岁,67.0,688026,3,0
688026,2020-01-13,B,2,大专及以下,469.0,688026,2,0
688026,2020-01-13,B,0,总人数,530.0,688026,0,0
688026,2020-01-13,B,2,本科,47.0,688026,2,0
688026,2020-01-13,B,8,生产人员,403.0,688026,8,0
688026,2020-01-13,B,8,行政管理人员,34.0,688026,8,0
688026,2020-01-13,B,2,硕士及以上,14.0,688026,2,0
688026,2020-01-13,B,8,研发技术人员,55.0,688026,8,0
688026,2020-01-13,B,8,销售人员,38.0,688026,8,0
688026,2020-01-13,B,3,30岁及以下,250.0,688026,3,0
688026,2020-01-13,B,3,31岁-40岁,201.0,688026,3,0
688026,2020-01-13,B,3,51岁及以上,12.0,688026,3,0
688027,2020-06-24,B,3,30岁及以下,151.0,688027,3,0
688027,2020-06-24,B,8,研发人员,193.0,688027,8,0
688027,2020-06-24,B,8,生产人员,42.0,688027,8,0
688027,2020-06-24,B,8,销售人员,91.0,688027,8,0
688027,2020-06-24,B,8,财务人员,25.0,688027,8,0
688027,2020-06-24,B,8,管理人员,74.0,688027,8,0
688027,2020-06-24,B,0,总人数,425.0,688027,0,0
