sample,model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula,error
full_by_y_available,simple,FInvention,Redundancy,531,-0.005634111970474103,0.01742683396227785,-0.32330094971178985,0.7464673348226819,-0.0017099217289184843,FInvention ~ Redundancy,
full_by_y_available,fe_text,FInvention,Redundancy,531,0.004356457038930596,0.017914470130630786,0.2431809038818164,0.8078652594006739,0.10712239592153039,FInvention ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_current,FInvention,Redundancy,531,-0.009133914379051655,0.01572272272343213,-0.5809371913325837,0.5612827853863276,0.3289102066918189,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_paper_full,FInvention,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
full_by_y_available,simple,BHAR,Redundancy,541,-0.00873223077871517,0.007240070656584328,-1.2060974530371231,0.22777991680024534,0.0007030465261893548,BHAR ~ Redundancy,
full_by_y_available,fe_text,BHAR,Redundancy,541,-0.004671588738056274,0.007635475365896422,-0.611826836469378,0.5406523321518727,-0.008124150099292127,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_current,BHAR,Redundancy,541,-0.005133870923125795,0.007749541090021801,-0.6624741856954722,0.5076673733591128,-0.017569890190485493,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_paper_full,BHAR,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
full_by_y_available,simple,FSales_Growth,Redundancy,538,0.04789144495223979,0.021297296747411553,2.248710036782507,0.024530950202810813,0.0045831466159769185,FSales_Growth ~ Redundancy,
full_by_y_available,fe_text,FSales_Growth,Redundancy,538,0.024392648885348787,0.019436512571845498,1.254991027592184,0.2094820171264875,0.12669780435667355,FSales_Growth ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_current,FSales_Growth,Redundancy,538,0.028101749771029933,0.02039797349696145,1.3776736093522262,0.1683040829147947,0.2053070524840086,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_paper_full,FSales_Growth,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
common_3y_current_controls,simple,FInvention,Redundancy,528,-0.0074373846465061455,0.017760448166839093,-0.41876109074728435,0.6753907435842057,-0.0015932089682939576,FInvention ~ Redundancy,
common_3y_current_controls,fe_text,FInvention,Redundancy,528,0.003796921191820306,0.01823806840534732,0.2081865857410133,0.8350832821567005,0.1087556425581846,FInvention ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
common_3y_current_controls,controls_fe_current,FInvention,Redundancy,528,-0.010220294921943453,0.016011353384066306,-0.6383154925625574,0.5232683290092018,0.32867373467152605,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
common_3y_current_controls,controls_fe_paper_full,FInvention,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
common_3y_current_controls,simple,BHAR,Redundancy,528,-0.009978143200884936,0.006947453412751896,-1.4362303146315851,0.15093681561749783,0.0014311334109464724,BHAR ~ Redundancy,
common_3y_current_controls,fe_text,BHAR,Redundancy,528,-0.005781531937942443,0.0073124649982436,-0.7906406306671039,0.4291537298587955,-0.00605181213422834,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
common_3y_current_controls,controls_fe_current,BHAR,Redundancy,528,-0.006055936601728413,0.007451125368150398,-0.8127546246388935,0.41635875578058923,-0.016051281971011244,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
common_3y_current_controls,controls_fe_paper_full,BHAR,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
common_3y_current_controls,simple,FSales_Growth,Redundancy,528,0.04983159263638099,0.02152858615377268,2.3146709347491674,0.020630947580439297,0.00607544350099698,FSales_Growth ~ Redundancy,
common_3y_current_controls,fe_text,FSales_Growth,Redundancy,528,0.024933168213153663,0.019107393089380687,1.3048963873052242,0.19192813157658872,0.12892282270017363,FSales_Growth ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
common_3y_current_controls,controls_fe_current,FSales_Growth,Redundancy,528,0.028567428714771227,0.020095469220940954,1.4215855524787582,0.1551466013636604,0.2095698638108422,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
common_3y_current_controls,controls_fe_paper_full,FSales_Growth,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
w2_2019_2022_by_y_available,simple,FInvention,Redundancy,464,-0.004991739810459982,0.018588359949720197,-0.2685411636078804,0.78828279404565,-0.0020276955441558275,FInvention ~ Redundancy,
w2_2019_2022_by_y_available,fe_text,FInvention,Redundancy,464,0.0036401908427040348,0.019415891119220312,0.18748512856566815,0.8512802826382642,0.09964116079360685,FInvention ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_current,FInvention,Redundancy,464,-0.006185458272882115,0.017467724706499536,-0.3541078404207148,0.7232580664970945,0.32151612337598456,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_paper_full,FInvention,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
w2_2019_2022_by_y_available,simple,BHAR,Redundancy,474,-0.010086196196413542,0.008382369398857243,-1.2032631486973813,0.2288745047698736,0.000998295580806885,BHAR ~ Redundancy,
w2_2019_2022_by_y_available,fe_text,BHAR,Redundancy,474,-0.0030318195077532538,0.00891680593348741,-0.3400118305106471,0.7338476186920582,0.0010306423197623538,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_current,BHAR,Redundancy,474,-0.004040214608596192,0.009054505709586304,-0.4462103993505337,0.6554452716736838,-0.006615502103414661,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_paper_full,BHAR,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
w2_2019_2022_by_y_available,simple,FSales_Growth,Redundancy,471,0.05105662316045665,0.024349740872352213,2.096803552370803,0.036010969006198344,0.005657798911017475,FSales_Growth ~ Redundancy,
w2_2019_2022_by_y_available,fe_text,FSales_Growth,Redundancy,471,0.03527007706211409,0.0220626437985177,1.5986332999893578,0.10990210605513777,0.09990254106410557,FSales_Growth ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_current,FSales_Growth,Redundancy,471,0.03671951064318872,0.02264256259015849,1.6217029542031045,0.10486696597010081,0.17293605657004285,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_paper_full,FSales_Growth,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
w2_2019_2022_common_3y_current_controls,simple,FInvention,Redundancy,461,-0.007289780531487862,0.01896610469303007,-0.3843583408124291,0.7007128727474299,-0.0018937859133676405,FInvention ~ Redundancy,
w2_2019_2022_common_3y_current_controls,fe_text,FInvention,Redundancy,461,0.002949053522172245,0.01981840186713766,0.14880380072735766,0.8817084514855291,0.10113623490603474,FInvention ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_common_3y_current_controls,controls_fe_current,FInvention,Redundancy,461,-0.007241341691571314,0.01787593509004341,-0.4050888334006436,0.6854122142864215,0.32033337462963796,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_common_3y_current_controls,controls_fe_paper_full,FInvention,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
w2_2019_2022_common_3y_current_controls,simple,BHAR,Redundancy,461,-0.01160596254648178,0.008073467574877835,-1.4375437120223271,0.15056356164981619,0.0019210828417184356,BHAR ~ Redundancy,
w2_2019_2022_common_3y_current_controls,fe_text,BHAR,Redundancy,461,-0.004472974810484771,0.00855635995976804,-0.5227660864569367,0.6011370425723519,0.005049088246591449,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_common_3y_current_controls,controls_fe_current,BHAR,Redundancy,461,-0.00529447396746516,0.008741338556965647,-0.6056822914433615,0.5447257454582308,-0.004759570362060428,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_common_3y_current_controls,controls_fe_paper_full,BHAR,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
w2_2019_2022_common_3y_current_controls,simple,FSales_Growth,Redundancy,461,0.05343838060292662,0.02468194643492811,2.1650796765081894,0.03038158407683625,0.007944849731224557,FSales_Growth ~ Redundancy,
w2_2019_2022_common_3y_current_controls,fe_text,FSales_Growth,Redundancy,461,0.03425972070228123,0.02180453736284336,1.5712197939435522,0.11613160387322952,0.09962606317971934,FSales_Growth ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_common_3y_current_controls,controls_fe_current,FSales_Growth,Redundancy,461,0.03594893154269599,0.022249237156034125,1.6157377122903482,0.10615103363335132,0.17569488380798004,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_common_3y_current_controls,controls_fe_paper_full,FSales_Growth,Redundancy,0,,,,,,missing NumIndSeg + NumProdSeg + ScopeLen,missing_paper_controls
