window,window_label,listing_year_min,listing_year_max,model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula
W1_2019_2021,W1(19-21),2019,2021,simple,FInvention,Redundancy,344,0.02328346038167646,0.01498597767737533,1.5536831084986886,0.12026002419140451,0.004973988600718959,FInvention ~ Redundancy
W1_2019_2021,W1(19-21),2019,2021,fe_text,FInvention,Redundancy,344,0.025171217098300273,0.0165988962152059,1.516439212099022,0.12940833020994225,0.04756881270846591,FInvention ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
W1_2019_2021,W1(19-21),2019,2021,controls_fe,FInvention,Redundancy,344,0.01764687833596202,0.012472542730416158,1.4148581181387716,0.15711009982436064,0.27322189050341095,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
W1_2019_2021,W1(19-21),2019,2021,simple,BHAR,Redundancy,351,-0.010879347956955823,0.006312988625139954,-1.7233276666508546,0.084829287308723,0.005235556090363858,BHAR ~ Redundancy
W1_2019_2021,W1(19-21),2019,2021,fe_text,BHAR,Redundancy,351,-0.00711522393801923,0.007255416714678699,-0.9806775017655651,0.32675180194708986,0.015573359285082411,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
W1_2019_2021,W1(19-21),2019,2021,controls_fe,BHAR,Redundancy,351,-0.007648852442442049,0.007121827567484051,-1.074001352878048,0.28282207519922964,0.011528557524580485,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
W1_2019_2021,W1(19-21),2019,2021,simple,FSales_Growth,Redundancy,350,0.0310730057400054,0.023617751570191945,1.3156631632632956,0.1882871232452913,0.003719278805947468,FSales_Growth ~ Redundancy
W1_2019_2021,W1(19-21),2019,2021,fe_text,FSales_Growth,Redundancy,350,0.02867530730935683,0.023729721491993924,1.2084131421024675,0.2268883871928984,0.08529883979704411,FSales_Growth ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
W1_2019_2021,W1(19-21),2019,2021,controls_fe,FSales_Growth,Redundancy,350,0.014371906104010894,0.024645581262132236,0.5831433209527594,0.5597968228119548,0.2356715584906297,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
W1_2019_2021,W1(19-21),2019,2021,pricing_rd_asset_controls_fe,Price_Issue_pb_indadj,RD_Low_x_Redundancy_High,351,-0.05006191015021603,0.08720808186416167,-0.574051270020985,0.5659331074345908,0.1797776980465774,Price_Issue_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
W1_2019_2021,W1(19-21),2019,2021,pricing_rd_asset_controls_fe,Price_Day5_pb_indadj,RD_Low_x_Redundancy_High,351,-0.1775050325905151,0.21128745007615163,-0.8401115756119885,0.4008458303880419,-0.015151705199587084,Price_Day5_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
W2_2019_2022,W2(19-22),2019,2022,simple,FInvention,Redundancy,464,0.010857254162819074,0.012593956597313783,0.86210033192705,0.38863230875629684,-0.0005840380529797962,FInvention ~ Redundancy
