code,segment_target_year,NumIndSeg_count,NumIndSeg_count_main,NumIndSeg_count_operating,NumIndSeg_source,NumIndSeg,NumIndSeg_ln_count,NumProdSeg_count,NumProdSeg_count_main,NumProdSeg_count_operating,NumProdSeg_source,NumProdSeg,NumProdSeg_ln_count
688021,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688023,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688025,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688030,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688036,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688037,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453
688039,2019,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688058,2019,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688068,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688078,2019,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906
688089,2019,2.0,2.0,,main_business_revenue,1.0986122886681098,0.6931471805599453,5.0,5.0,,main_business_revenue,1.791759469228055,1.6094379124341003
688098,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0
688099,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688101,2019,2.0,,2.0,operating_revenue_fallback,1.0986122886681098,0.6931471805599453,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688108,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688111,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688116,2019,4.0,4.0,,main_business_revenue,1.6094379124341003,1.3862943611198906,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688118,2019,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688123,2019,1.0,,1.0,operating_revenue_fallback,0.6931471805599453,0.0,4.0,,4.0,operating_revenue_fallback,1.6094379124341003,1.3862943611198906
688128,2019,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098,9.0,9.0,,main_business_revenue,2.302585092994046,2.1972245773362196
688138,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,3.0,3.0,,main_business_revenue,1.3862943611198906,1.0986122886681098
688139,2019,1.0,1.0,,main_business_revenue,0.6931471805599453,0.0,6.0,6.0,,main_business_revenue,1.9459101490553132,1.791759469228055
