sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all,distance_q
full_2019_2023,BHAR_current,541,-0.0617672526383254,0.48882661213590445,-0.3871010025151465,-0.2038688808743842,0.0731908258966917,471,-0.036,0.514,-0.385,-0.17,0.162,0.17571969799525997,0.124779057492839
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Cmdeq,541,-0.3150226245818523,0.5269057397083212,-0.3875022582447527,-0.15521400648143735,-0.05781115618663879,471,-0.036,0.514,-0.385,-0.17,0.162,0.5290277722401278,0.23709940794995416
full_2019_2023,BHARwk_within365_Wretwd_Mdos,239,-0.3325253032708656,0.5120753102035372,-0.36970593790092304,-0.18432620743499595,-0.0680899615444917,471,-0.036,0.514,-0.385,-0.17,0.162,0.558160224145893,0.2597102310785646
full_2019_2023,BHARwk_within365_Wretwd_Mdtl,239,-0.33236112257783235,0.5175512149179212,-0.36388107130959374,-0.1783073825075554,-0.06881266563648142,471,-0.036,0.514,-0.385,-0.17,0.162,0.5601513143301966,0.2602389768344431
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Cmdtl,541,-0.3348158618008088,0.500749987395664,-0.3965494387951396,-0.18288748832351676,-0.08294147628737258,471,-0.036,0.514,-0.385,-0.17,0.162,0.5814442778111737,0.2693784034060289
full_2019_2023,BHARwk_first52_Wretwd_Cmdeq,541,-0.33321450884901355,0.5534667780050944,-0.37848107125963326,-0.1629750229843402,-0.07710904303052268,471,-0.036,0.514,-0.385,-0.17,0.162,0.5893342356406572,0.25265294878654926
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Cmdos,541,-0.3452120589755982,0.5148428116912919,-0.40930437002520814,-0.18801285915408406,-0.08471022050564647,471,-0.036,0.514,-0.385,-0.17,0.162,0.5990823203518287,0.28902744968493865
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Mdeq,541,-0.26921094528711165,0.44953366276832246,-0.31613288215673285,-0.13001591147238356,-0.04876180357427007,471,-0.036,0.514,-0.385,-0.17,0.162,0.6172902924639428,0.3196130099451537
full_2019_2023,BHARwk_first52_Wretwd_Mdeq,541,-0.28379425875483016,0.4602028661676313,-0.3144501585705032,-0.14045529991242567,-0.06423399359080928,471,-0.036,0.514,-0.385,-0.17,0.162,0.6279199276950793,0.32632853510788046
full_2019_2023,BHARwk_within365_Wretwd_Mdeq,239,-0.3414186219810713,0.5881335415554757,-0.3549186736293531,-0.16317968390132642,-0.0605538423974768,471,-0.036,0.514,-0.385,-0.17,0.162,0.6390076484033443,0.2594554848667973
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Mdtl,541,-0.2673084262763914,0.41401449819291647,-0.3122501413832999,-0.14549481851731727,-0.05782738423179934,471,-0.036,0.514,-0.385,-0.17,0.162,0.6483763524146572,0.3170824243311822
full_2019_2023,BHARwk_first52_Wretwd_Mdos,541,-0.2861924245368076,0.43730673918668417,-0.31426081336155676,-0.1484121080746531,-0.06919969487479605,471,-0.036,0.514,-0.385,-0.17,0.162,0.6504124587887097,0.3235267734385862
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Mdos,541,-0.26699675684798885,0.4137672501915939,-0.3125733846715594,-0.14409991397680222,-0.05914943634898029,471,-0.036,0.514,-0.385,-0.17,0.162,0.6507056443570137,0.3194761377006187
full_2019_2023,BHARwk_first52_Wretwd_Mdtl,541,-0.2852838964033663,0.4348649945147041,-0.3110994558979443,-0.14898330196828435,-0.06908217685317875,471,-0.036,0.514,-0.385,-0.17,0.162,0.6544183208756124,0.3259994189869501
full_2019_2023,BHARwk_first52_Wretwd_Cmdtl,541,-0.36384735765525855,0.5361468028339356,-0.40256216200326533,-0.19659226797274165,-0.10299708397387397,471,-0.036,0.514,-0.385,-0.17,0.162,0.6591456744390751,0.30915151394988094
full_2019_2023,BHARwk_first52_Wretwd_Cmdos,541,-0.3721379244809812,0.5479905748270141,-0.4156551399184347,-0.20375233001704673,-0.10536198624373627,471,-0.036,0.514,-0.385,-0.17,0.162,0.701897955487213,0.3317694561792177
full_2019_2023,BHARwk_within365_Wretwd_Cmdeq,239,-0.39146025115999566,0.6774462727239632,-0.42213677652826503,-0.1876075855705206,-0.07444215047401609,471,-0.036,0.514,-0.385,-0.17,0.162,0.8100930364567606,0.2911865125728017
full_2019_2023,BHARwk_within365_Wretwd_Cmdos_sum_adj,239,-0.1684751129707113,0.17184730073561655,-0.26750799999999997,-0.15142500000000003,-0.05422099999999995,471,-0.036,0.514,-0.385,-0.17,0.162,0.8269158122350947,0.35228799999999993
full_2019_2023,BHARwk_within365_Wretwd_Cmdtl_sum_adj,239,-0.16342661924686194,0.16734302132931425,-0.2658225,-0.14644199999999996,-0.04991449999999999,471,-0.036,0.514,-0.385,-0.17,0.162,0.8287335979175477,0.35465
full_2019_2023,BHARwk_within365_Wretwd_Cmdeq_sum_adj,239,-0.14244066527196653,0.16096708257759706,-0.23313699999999998,-0.12364099999999996,-0.036639000000000005,471,-0.036,0.514,-0.385,-0.17,0.162,0.8563345826943696,0.3968610000000001
full_2019_2023,BHARwk_within365_Wretwd_Cmdtl,239,-0.4114994015206594,0.6223311073705428,-0.4482329133440803,-0.22438612758237042,-0.09677129559569314,471,-0.036,0.514,-0.385,-0.17,0.162,0.860220845413346,0.3763903365221438
full_2019_2023,BHARwk_within365_Wretwd_Mdos_sum_adj,239,-0.1297561129707113,0.15130609786825325,-0.23024799999999995,-0.10731299999999998,-0.037924000000000055,471,-0.036,0.514,-0.385,-0.17,0.162,0.8738130151024582,0.41736300000000015
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Cmdos_sum_adj,541,-0.13481468946395564,0.16631148810329677,-0.20804799999999993,-0.10894699999999997,-0.02845900000000001,471,-0.036,0.514,-0.385,-0.17,0.162,0.874967201360659,0.4284640000000001
full_2019_2023,BHARwk_within365_Wretwd_Mdtl_sum_adj,239,-0.13047026359832634,0.14876802192628225,-0.2257305,-0.1044120000000001,-0.0378525,471,-0.036,0.514,-0.385,-0.17,0.162,0.884412241672044,0.4247099999999999
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Cmdeq_sum_adj,541,-0.11401557301293899,0.1589706544393485,-0.18891700000000008,-0.088417,-0.014100000000000085,471,-0.036,0.514,-0.385,-0.17,0.162,0.8868109185735905,0.453766
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Cmdtl_sum_adj,541,-0.13009456931608135,0.1620568348132991,-0.199903,-0.10178,-0.02744200000000001,471,-0.036,0.514,-0.385,-0.17,0.162,0.8887967345027823,0.44275900000000007
full_2019_2023,BHARwk_within365_Wretwd_Cmdos,239,-0.4218099712933502,0.6365751726353062,-0.4419923354248839,-0.2336892715568748,-0.10361515560386642,471,-0.036,0.514,-0.385,-0.17,0.162,0.8946819065142815,0.38629676258562506
full_2019_2023,BHARwk_within365_Wretwd_Mdeq_sum_adj,239,-0.12687507949790794,0.14564466695281422,-0.21423200000000003,-0.09761099999999998,-0.030846999999999992,471,-0.036,0.514,-0.385,-0.17,0.162,0.8952344125450937,0.436004
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Mdos_sum_adj,541,-0.10219678188539742,0.14393610643960422,-0.171999,-0.08101900000000006,-0.01261599999999996,471,-0.036,0.514,-0.385,-0.17,0.162,0.9128586754457931,0.4765979999999999
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Mdtl_sum_adj,541,-0.10295472273567467,0.14313291335981193,-0.16831600000000002,-0.08140300000000003,-0.012713999999999968,471,-0.036,0.514,-0.385,-0.17,0.162,0.9178168093758627,0.47999499999999995
full_2019_2023,BHARwk_skip_first_first52_Wretwd_Mdeq_sum_adj,541,-0.09911424029574863,0.14550828573676916,-0.162383,-0.07552899999999997,-0.013547999999999935,471,-0.036,0.514,-0.385,-0.17,0.162,0.9242419545589795,0.49263599999999996
full_2019_2023,BHARwk_first52_Wretwd_Cmdos_sum_adj,541,-0.14755860073937152,0.13654254535556795,-0.20615599999999992,-0.1284289999999999,-0.057661999999999936,471,-0.036,0.514,-0.385,-0.17,0.162,0.9290930553838037,0.44007700000000016
full_2019_2023,BHARwk_first52_Wretwd_Cmdtl_sum_adj,541,-0.14428358225508317,0.13297587517028397,-0.20254000000000003,-0.12596499999999997,-0.055446,471,-0.036,0.514,-0.385,-0.17,0.162,0.9332487070847992,0.44394100000000003
full_2019_2023,BHARwk_first52_Wretwd_Cmdeq_sum_adj,541,-0.12323807763401107,0.12909165698624067,-0.17364000000000013,-0.10486099999999984,-0.04333700000000002,471,-0.036,0.514,-0.385,-0.17,0.162,0.9539824206477705,0.48183600000000004
full_2019_2023,BHARwk_first52_Wretwd_Mdos_sum_adj,541,-0.10876418299445471,0.11811683774265147,-0.15712900000000002,-0.08935199999999993,-0.03871000000000002,471,-0.036,0.514,-0.385,-0.17,0.162,0.9778763452518033,0.5092290000000002
full_2019_2023,BHARwk_first52_Wretwd_Mdeq_sum_adj,541,-0.10560423844731978,0.11906824670967175,-0.1480149999999999,-0.08786600000000003,-0.03295699999999997,471,-0.036,0.514,-0.385,-0.17,0.162,0.9786119917376481,0.5140760000000001
full_2019_2023,BHARwk_first52_Wretwd_Mdtl_sum_adj,541,-0.10907753974121996,0.11752834290850549,-0.15768999999999994,-0.08833699999999996,-0.038958000000000076,471,-0.036,0.514,-0.385,-0.17,0.162,0.9794801968327147,0.5099310000000002
